"JobCategoryId","JobCategoryAlias","OccupationId","OccupationAlias"
"1","Accounting/Finance/Insurance","11711","Accounts Payable/Receivable"
"1","Accounting/Finance/Insurance","11712","Actuarial Analysis"
"1","Accounting/Finance/Insurance","11724","Audit"
"1","Accounting/Finance/Insurance","11730","Bookkeeping"
"1","Accounting/Finance/Insurance","11750","Collections"
"1","Accounting/Finance/Insurance","11760","Corporate Finance"
"1","Accounting/Finance/Insurance","11766","Credit Review/Analysis"
"1","Accounting/Finance/Insurance","11803","Financial Analysis/Research/Reporting"
"1","Accounting/Finance/Insurance","11804","Financial Planning/Advising"
"1","Accounting/Finance/Insurance","11817","Fund Accounting"
"1","Accounting/Finance/Insurance","11843","Investment Management"
"1","Accounting/Finance/Insurance","11893","General/Other: Accounting/Finance"
"1","Accounting/Finance/Insurance","11927","Policy Underwriting"
"1","Accounting/Finance/Insurance","11940","Real Estate Appraisal"
"1","Accounting/Finance/Insurance","11952","Risk Management/Compliance"
"1","Accounting/Finance/Insurance","11959","Securities Analysis/Research"
"1","Accounting/Finance/Insurance","11960","Financial Products Sales/Brokerage"
"1","Accounting/Finance/Insurance","11981","Tax Accounting"
"1","Accounting/Finance/Insurance","11982","Tax Assessment and Collections"
"1","Accounting/Finance/Insurance","14866","Claims Review and Adjusting"
"1","Accounting/Finance/Insurance","14867","Corporate Accounting"
"1","Accounting/Finance/Insurance","14868","Financial Control"
"1","Accounting/Finance/Insurance","14875","Real Estate Leasing/Acquisition"
"2","Administrative/Clerical","11713","Administrative Support"
"2","Administrative/Clerical","11770","Data Entry/Order Processing"
"2","Administrative/Clerical","11797","Executive Support"
"2","Administrative/Clerical","11802","Filing/Records Management"
"2","Administrative/Clerical","11888","Office Management"
"2","Administrative/Clerical","11894","General/Other: Administrative/Clerical"
"2","Administrative/Clerical","11942","Reception/Switchboard"
"2","Administrative/Clerical","11958","Secretary/Executive Assistant"
"2","Administrative/Clerical","14865","Claims Processing"
"2","Administrative/Clerical","14874","Property Management"
"2","Administrative/Clerical","14880","Transcription"
"3","Education/Training","11748","Classroom Teaching"
"3","Education/Training","11756","Continuing/Adult "
"3","Education/Training","11759","Corporate Development and Training"
"3","Education/Training","11768","Customer Training"
"3","Education/Training","11779","Early Childhood Care & Development"
"3","Education/Training","11784","Elementary School"
"3","Education/Training","11807","Fitness & Sports Training/Instruction"
"3","Education/Training","11851","Junior/High School"
"3","Education/Training","11915","General/Other: Training/Instruction"
"3","Education/Training","11955","School/College Administration"
"3","Education/Training","11971","Software/Web Training"
"3","Education/Training","11972","Special Education"
"3","Education/Training","11995","University "
"4","Engineering","11715","Aeronautic/Avionic Engineering"
"4","Engineering","11728","Bio-Engineering"
"4","Engineering","11737","CAD/Drafting"
"4","Engineering","11746","Chemical Engineering"
"4","Engineering","11747","Civil & Structural Engineering"
"4","Engineering","11782","Electrical/Electronics Engineering"
"4","Engineering","11786","Energy/Nuclear Engineering"
"4","Engineering","11788","Environmental and Geological Engineering"
"4","Engineering","11838","Industrial/Manufacturing Engineering"
"4","Engineering","11867","Mechanical Engineering"
"4","Engineering","11881","Naval Architecture/Marine Engineering"
"4","Engineering","11900","General/Other: Engineering"
"4","Engineering","11951","RF/Wireless Engineering"
"4","Engineering","11980","Systems/Process Engineering"
"5","Human Resources","11751","Compensation/Benefits Policy"
"5","Human Resources","11759","Corporate Development and Training"
"5","Human Resources","11777","Diversity Management/EEO/Compliance"
"5","Human Resources","11834","HR Systems Administration"
"5","Human Resources","11902","General/Other: Human Resources"
"5","Human Resources","11918","Payroll and Benefits Administration"
"5","Human Resources","11943","Recruiting/Sourcing "
"5","Human Resources","14864","Academic Admissions and Advising"
"7","Legal","11722","Attorney"
"7","Legal","11757","Contracts Administration"
"7","Legal","11852","Labor & Employment Law"
"7","Legal","11905","General/Other: Legal"
"7","Legal","11916","Paralegal & Legal Secretary"
"7","Legal","11917","Patent/IP Law"
"7","Legal","11941","Real Estate Law"
"7","Legal","11944","Regulatory/Compliance Law"
"7","Legal","11983","Tax Law"
"10","Sales/Retail/Business Development","11709","Account Management (Commissioned)"
"10","Sales/Retail/Business Development","11735","Business Development/New Accounts"
